Study_ID,Domain,Specific_Target,Study_Design,Publication_Year,Country,Robot_Type,Robot_Platform,Robot_controler,Controler_model,Autonomy_Level_rbt,Autonomy_Level_img,Navigation_system,Img_Sensor_used,Imaging_Type,Imaging_Sensor_Brand,Imaging_Sensor_Model,Number_of_Sensors,Resolution_px,Resolution_MP,Data_Volume_GB,Labeling_Method,Annotation_Tools,Dataset_Availability,Processing_Techniques,AI_Driven_Technology,Model/Network,Agricultural_Task,F1_score_%,N_eval
STDY_086,Plant,Peanut,Field Trial,2024,China,UAV,DJI Mavic 2 Zoom,,,Semi-autonomous,Semi-autonomous,,RGB camera,RGB camera,DJI,Integrated camera,1,4000 x 3000,12,10,manual,LabelImg,,Data Augmentation,Deep Learning,YOLOv3,Crop type mapping,98,30000
STDY_087,Plant,Wheat,Field Trial,2022,UK,UAV,DJI Matrice 210,,,Semi-autonomous,Semi-autonomous,,RGB camera,RGB camera,DJI,X7 sensor,1,1024 x 1024,1,,manual,CVAT,Private,Data Augmentation,Deep Learning,U-Net,Weed detection,57,20596
STDY_089,Plant,Marigold,Field Trial,2021,China,UAV,DJI Mavic 2 Pro,DJI GO PRO,DJI flight controller,Semi-autonomous,Semi-autonomous,GPS,RGB camera,RGB camera,DJI,Hasselblad camera,1,5472 x 3648,20,,manual,Adobe Photoshop CC 2019,Private,Image mosaicking,Deep Learning,Modified U-Net,Weed segmentation,82.5,100
STDY_097,Livestock,Rumex obtusifolius,Field Trial,2019,Germany,UAV,DJI Phantom 3 Pro,DJI standard remote controller,,Semi-autonomous,Semi-autonomous,GPS,RGB camera,RGB camera,DJI,Integrated camera,2,,12,,manual,,Private,Orthophoto generation,Deep Learning,AlexNet,Weed detection,95.4,631
STDY_098,Plant,Maize,Field Trial,2025,China,UAV,DJI Mavic 3 M,,,Semi-autonomous,Semi-autonomous,,RGB camera,RGB camera,DJI,Integrated camera,1,5280 x 3956,20,,manual,LabelImg,Upon Request,Image segmentation,Deep Learning,Tassel-YOLOv12n,Maize tassel detection,84,2395
STDY_099,Livestock,Colchicum autumnale,Field Trial,2020,Germany,UAV,HiSystem's MK OktoXL,,,Semi-autonomous,Semi-autonomous,,RGB camera,RGB camera,Sony,alpha 7 RII,1,,42.4,,manual,,Private,Image tiling,Deep Learning,U-Net,Weed detection,83.9,56
STDY_101,Plant,Wheat,Field Trial,2018,USA,UAV,DJI Phantom 4 Pro,Pix4DCapture,,Semi-autonomous,Fully-autonomous,,RGB camera,RGB camera,DJI,Integrated camera,1,,12,,manual,,,Image mosaicking,Deep Learning,Custom Deep Neural Network,Weed detection,95.56,1000
STDY_102,Livestock,Grassland weed,Field Trial,2023,China,UAV,DJI Mavic 3,,,Semi-autonomous,Semi-autonomous,,RGB camera,RGB camera,Hasselblad camera,Integrated camera,1,3840 x 2160,8.2,,manual,LabelImg,Upon Request,Image extraction,Deep Learning,BSS-YOLOv8 ,Weed detection,88.85,2180
STDY_120,Livestock,Rumex obtusifolius,Field Trial,2022,Germany,UAV,DJI Phantom 3 Pro,,,Semi-autonomous,Semi-autonomous,,RGB camera,RGB camera,,,1,,,,manual,Matlab,Public,Photogrammetry,Deep Learning,VGG,,74.5,610
STDY_121,Plant,Maize,Field Trial,2022,China,UAV,DJI Matrice 600 Pro,DJI flight controller,,Semi-autonomous,Semi-autonomous,GPS,RGB camera,RGB camera,Sony,Sony A7 II,1,4800 x 3200 ,15.36,,manual,LabelMe,Upon Request,Transfer Learning,Deep Learning,U-Net,Tassel segmentation and dynamic monitoring,83.9,779
